,item,condition,attraction,violation,model,model_type,model_arch,surp,target_attn,dist_attn,attn_entropy
0,1,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.220869064331055,0.313993,0.2648121,1.522122
1,1,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.130885124206543,0.32867464,0.25580174,1.523085
2,1,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.092775344848633,0.3048563,0.1895167,1.5443717
3,1,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,7.391720771789551,0.27566552,0.22133245,1.7132106
4,1,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.688190460205078,0.27851412,0.19548234,1.5499804
5,1,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.037365913391113,0.2916977,0.16884503,1.5535607
6,1,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.952322006225586,0.27561384,0.21322984,1.7106024
7,1,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.575268745422363,0.23701991,0.27916488,1.6799021
8,2,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,6.047109603881836,0.12773356,0.19125178,1.711196
9,2,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,5.938642501831055,0.10116846,0.3053543,1.6428638
10,2,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.610113143920898,0.13936022,0.15731402,1.7378525
11,2,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.34812068939209,0.14387906,0.11581594,1.7425773
12,2,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.826642036437988,0.11986411,0.13894542,1.7180371
13,2,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.863890647888184,0.10883402,0.22442168,1.712468
14,2,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.569580078125,0.13328695,0.102548376,1.7233144
15,2,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.569580078125,0.13328695,0.102548376,1.7233144
16,3,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.853803634643555,0.19651484,0.10900364,1.7334365
17,3,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.273575782775879,0.15680932,0.15237583,1.7379259
18,3,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.730400085449219,0.21339507,0.15702376,1.7453012
19,3,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.370341300964355,0.19746913,0.16758443,1.7681147
20,3,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.963866233825684,0.23080201,0.1811802,1.7495639
21,3,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.592000961303711,0.2011211,0.2344879,1.7368021
22,3,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.462029457092285,0.2243242,0.19824496,1.7615759
23,3,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.467954635620117,0.21223924,0.20098515,1.7450637
24,4,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,5.946793079376221,0.23039745,0.19684508,1.7328894
25,4,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,4.558402061462402,0.17835891,0.28697902,1.6792428
26,4,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.909635543823242,0.17182104,0.117795,1.751133
27,4,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.260294914245605,0.16460483,0.16285706,1.7502851
28,4,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.443252563476562,0.20713072,0.17231062,1.7491925
